ticker,name,sector,industry
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Life Sciences Tools & Services
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,IT Consulting & Other Services
AMGN,AMGEN INC,Health Care,Biotechnology
APH,AMPHENOL CORP CLASS A,Information Technology,Electronic Components
VZ,VERIZON COMMUNICATIONS INC,Communication,Integrated Telecommunication Services
MCD,MCDONALDS CORP,Consumer Discretionary,Restaurants
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Systems Software
PEP,PEPSICO INC,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
ANET,ARISTA NETWORKS INC,Information Technology,Communications Equipment
WDC,WESTERN DIGITAL CORP,Information Technology,"Technology Hardware, Storage & Peripherals"
ABT,ABBOTT LABORATORIES,Health Care,Health Care Equipment
NEE,NEXTERA ENERGY INC,Utilities,Multi-Utilities
ADI,ANALOG DEVICES INC,Information Technology,Semiconductors
AXP,AMERICAN EXPRESS,Financials,Consumer Finance
SNDK,SANDISK CORP,Information Technology,"Technology Hardware, Storage & Peripherals"
TJX,TJX INC,Consumer Discretionary,Apparel Retail
UNP,UNION PACIFIC CORP,Industrials,Rail Transportation
SCHW,CHARLES SCHWAB CORP,Financials,Investment Banking & Brokerage
DIS,WALT DISNEY,Communication,Movies & Entertainment
BLK,BLACKROCK INC,Financials,Asset Management & Custody Banks
WELL,WELLTOWER INC,Real Estate,Health Care REITs
BA,BOEING,Industrials,Aerospace & Defense
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Semiconductors
GILD,GILEAD SCIENCES INC,Health Care,Biotechnology
ETN,EATON PLC,Industrials,Electrical Components & Equipment
T,ATT INC,Communication,Integrated Telecommunication Services
QCOM,QUALCOMM INC,Information Technology,Semiconductors
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
COP,CONOCOPHILLIPS,Energy,Oil & Gas Exploration & Production
CRM,SALESFORCE INC,Information Technology,Application Software
DE,DEERE,Industrials,Agricultural & Farm Machinery
PFE,PFIZER INC,Health Care,Pharmaceuticals
UBER,UBER TECHNOLOGIES INC,Industrials,Passenger Ground Transportation
PLD,PROLOGIS REIT INC,Real Estate,Industrial REITs
CVS,CVS HEALTH CORP,Health Care,Health Care Services
BMY,BRISTOL MYERS SQUIBB,Health Care,Pharmaceuticals
COF,CAPITAL ONE FINANCIAL CORP,Financials,Consumer Finance
ISRG,INTUITIVE SURGICAL INC,Health Care,Health Care Equipment
CB,CHUBB,Financials,Property & Casualty Insurance
PH,PARKER-HANNIFIN CORP,Industrials,Industrial Machinery & Supplies & Components
DHR,DANAHER CORP,Health Care,Life Sciences Tools & Services
PGR,PROGRESSIVE CORP,Financials,Property & Casualty Insurance
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,"Technology Hardware, Storage & Peripherals"
SPGI,SP GLOBAL INC,Financials,Financial Exchanges & Data
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Biotechnology
SBUX,STARBUCKS CORP,Consumer Discretionary,Restaurants
LMT,LOCKHEED MARTIN CORP,Industrials,Aerospace & Defense
LOW,LOWES COMPANIES INC,Consumer Discretionary,Home Improvement Retail
MO,ALTRIA GROUP INC,Consumer Staples,Tobacco
NOW,SERVICENOW INC,Information Technology,Systems Software
SYK,STRYKER CORP,Health Care,Health Care Equipment
HWM,HOWMET AEROSPACE INC,Industrials,Aerospace & Defense
MDT,MEDTRONIC PLC,Health Care,Health Care Equipment
GLW,CORNING INC,Information Technology,Electronic Components
BNY,BANK OF NEW YORK MELLON CORP,Financials,Asset Management & Custody Banks
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Human Resource & Employment Services
SO,SOUTHERN,Utilities,Electric Utilities
MCK,MCKESSON CORP,Health Care,Health Care Distributors
ACN,ACCENTURE PLC CLASS A,Information Technology,IT Consulting & Other Services
ADBE,ADOBE INC,Information Technology,Application Software
TT,TRANE TECHNOLOGIES PLC,Industrials,Building Products
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Diversified Banks
EQIX,EQUINIX REIT INC,Real Estate,Data Center REITs
NEM,NEWMONT,Materials,Gold
PWR,QUANTA SERVICES INC,Industrials,Construction & Engineering
SNOW,SNOWFLAKE INC,Information Technology,Application Software
FTNT,FORTINET INC,Information Technology,Systems Software
GD,GENERAL DYNAMICS CORP,Industrials,Aerospace & Defense
USB,US BANCORP,Financials,Diversified Banks
DUK,DUKE ENERGY CORP,Utilities,Electric Utilities
CME,CME GROUP INC CLASS A,Financials,Financial Exchanges & Data
BX,BLACKSTONE INC,Financials,Asset Management & Custody Banks
APP,APPLOVIN CORP CLASS A,Information Technology,Application Software
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Application Software
CSX,CSX CORP,Industrials,Rail Transportation
MPC,MARATHON PETROLEUM CORP,Energy,Oil & Gas Refining & Marketing
VLO,VALERO ENERGY CORP,Energy,Oil & Gas Refining & Marketing
VRT,VERTIV HOLDINGS CLASS A,Industrials,Electrical Components & Equipment
MMM,3M,Industrials,Industrial Conglomerates
MRSH,MARSH INC,Financials,Insurance Brokers
FCX,FREEPORT MCMORAN INC,Materials,Copper
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Building Products
NET,CLOUDFLARE INC CLASS A,Information Technology,Internet Services & Infrastructure
DDOG,DATADOG INC CLASS A,Information Technology,Application Software
CMI,CUMMINS INC,Industrials,Construction Machinery & Heavy Transportation Equipment
WMB,WILLIAMS INC,Energy,Oil & Gas Storage & Transportation
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Financial Exchanges & Data
INTU,INTUIT INC,Information Technology,Application Software
CMCSA,COMCAST CORP CLASS A,Communication,Cable & Satellite
PSX,PHILLIPS 66,Energy,Oil & Gas Refining & Marketing
EMR,EMERSON ELECTRIC,Industrials,Electrical Components & Equipment
WM,WASTE MANAGEMENT INC,Industrials,Environmental & Facilities Services
CEG,CONSTELLATION ENERGY CORP,Utilities,Electric Utilities
TMUS,T MOBILE US INC,Communication,Wireless Telecommunication Services
ITW,ILLINOIS TOOL INC,Industrials,Industrial Machinery & Supplies & Components
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ELV,ELEVANCE HEALTH INC,Health Care,Managed Health Care
AMT,AMERICAN TOWER REIT CORP,Real Estate,Telecom Tower REITs
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
GM,GENERAL MOTORS,Consumer Discretionary,Automobile Manufacturers
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Packaged Foods & Meats
EOG,EOG RESOURCES INC,Energy,Oil & Gas Exploration & Production
TRV,TRAVELERS COMPANIES INC,Financials,Property & Casualty Insurance
ROST,ROSS STORES INC,Consumer Discretionary,Apparel Retail
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Movies & Entertainment
SHW,SHERWIN WILLIAMS,Materials,Specialty Chemicals
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Air Freight & Logistics
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Biotechnology
HON,HONEYWELL INTERNATIONAL INC,Industrials,Industrial Conglomerates
NSC,NORFOLK SOUTHERN CORP,Industrials,Rail Transportation
AON,AON PLC CLASS A,Financials,Insurance Brokers
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Automotive Retail
SLB,SLB NV,Energy,Oil & Gas Equipment & Services
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Specialized Consumer Services
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Retail REITs
CI,CIGNA,Health Care,Health Care Services
CL,COLGATE-PALMOLIVE,Consumer Staples,Household Products
NOC,NORTHROP GRUMMAN CORP,Industrials,Aerospace & Defense
SNPS,SYNOPSYS INC,Information Technology,Application Software
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Communications Equipment
MCO,MOODYS CORP,Financials,Financial Exchanges & Data
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
TDG,TRANSDIGM GROUP INC,Industrials,Aerospace & Defense
CTAS,CINTAS CORP,Industrials,Diversified Support Services
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Electric Utilities
KKR,KKR AND CO INC,Financials,Asset Management & Custody Banks
BSX,BOSTON SCIENTIFIC CORP,Health Care,Health Care Equipment
ECL,ECOLAB INC,Materials,Specialty Chemicals
PCAR,PACCAR INC,Industrials,Construction Machinery & Heavy Transportation Equipment
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate,Data Center REITs
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
ALL,ALLSTATE CORP,Financials,Property & Casualty Insurance
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Semiconductors
URI,UNITED RENTALS INC,Industrials,Trading Companies & Distributors
FDX,FEDEX CORP,Industrials,Air Freight & Logistics
HOOD,ROBINHOOD MARKETS INC CLASS A,Financials,Investment Banking & Brokerage
HONA,HONEYWELL AEROSPACE INC,Industrials,Aerospace & Defense
TGT,TARGET CORP,Consumer Staples,Consumer Staples Merchandise Retail
TFC,TRUIST FINANCIAL CORP,Financials,Diversified Banks
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Industrial Gases
AJG,ARTHUR J GALLAGHER,Financials,Insurance Brokers
CRH,CRH PUBLIC LIMITED PLC,Materials,Construction Materials
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,"Technology Hardware, Storage & Peripherals"
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Broadcasting
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
KMI,KINDER MORGAN INC,Energy,Oil & Gas Storage & Transportation
D,DOMINION ENERGY INC,Utilities,Multi-Utilities
HCA,HCA HEALTHCARE INC,Health Care,Health Care Facilities
BKR,BAKER HUGHES CLASS A,Energy,Oil & Gas Equipment & Services
GWW,WW GRAINGER INC,Industrials,Industrial Machinery & Supplies & Components
FIX,COMFORT SYSTEMS USA INC,Industrials,Construction & Engineering
O,REALTY INCOME REIT CORP,Real Estate,Retail REITs
COR,CENCORA INC,Health Care,Health Care Distributors
AFL,AFLAC INC,Financials,Life & Health Insurance
SRE,SEMPRA,Utilities,Multi-Utilities
TRGP,TARGA RESOURCES CORP,Energy,Oil & Gas Storage & Transportation
TER,TERADYNE INC,Information Technology,Semiconductor Materials & Equipment
OKE,ONEOK INC,Energy,Oil & Gas Storage & Transportation
F,FORD MOTOR CO,Consumer Discretionary,Automobile Manufacturers
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Wireless Telecommunication Services
DAL,DELTA AIR LINES INC,Industrials,Passenger Airlines
NUE,NUCOR CORP,Materials,Steel
AME,AMETEK INC,Industrials,Electrical Components & Equipment
BE,BLOOM ENERGY CLASS A CORP,Industrials,Electrical Components & Equipment
LNG,CHENIERE ENERGY INC,Energy,Oil & Gas Storage & Transportation
FAST,FASTENAL,Industrials,Trading Companies & Distributors
PSA,PUBLIC STORAGE REIT,Real Estate,Self-Storage REITs
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Electronic Equipment & Instruments
ROK,ROCKWELL AUTOMATION INC,Industrials,Electrical Components & Equipment
CAH,CARDINAL HEALTH INC,Health Care,Health Care Distributors
CTVA,CORTEVA INC,Materials,Fertilizers & Agricultural Chemicals
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Asset Management & Custody Banks
CIEN,CIENA CORP,Information Technology,Communications Equipment
EA,ELECTRONIC ARTS INC,Communication,Interactive Home Entertainment
MET,METLIFE INC,Financials,Life & Health Insurance
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Aerospace & Defense
PYPL,PAYPAL HOLDINGS INC,Financials,Transaction & Payment Processing Services
FITB,FIFTH THIRD BANCORP,Financials,Regional Banks
LITE,LUMENTUM HOLDINGS INC,Information Technology,Communications Equipment
DVN,DEVON ENERGY CORP,Energy,Oil & Gas Exploration & Production
EBAY,EBAY INC,Consumer Discretionary,Broadline Retail
VST,VISTRA CORP,Utilities,Electric Utilities
NU,NU HOLDINGS CLASS A,Financials,Consumer Finance
AZO,AUTOZONE INC,Consumer Discretionary,Automotive Retail
ADSK,AUTODESK INC,Information Technology,Application Software
AMP,AMERIPRISE FINANCE INC,Financials,Asset Management & Custody Banks
NKE,NIKE INC CLASS B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ETR,ENTERGY CORP,Utilities,Electric Utilities
STT,STATE STREET CORP,Financials,Asset Management & Custody Banks
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Construction Machinery & Heavy Transportation Equipment
EW,EDWARDS LIFESCIENCES CORP,Health Care,Health Care Equipment
XEL,XCEL ENERGY INC,Utilities,Multi-Utilities
GRMN,GARMIN LTD,Consumer Discretionary,Consumer Electronics
CARR,CARRIER GLOBAL CORP,Industrials,Building Products
ALAB,ASTERA LABS INC,Information Technology,Semiconductors
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Restaurants
EXC,EXELON CORP,Utilities,Electric Utilities
BDX,BECTON DICKINSON,Health Care,Health Care Equipment
COHR,COHERENT CORP,Information Technology,Electronic Components
VTR,VENTAS REIT INC,Real Estate,Health Care REITs
FERG,FERGUSON ENTERPRISES INC,Industrials,Trading Companies & Distributors
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Interactive Home Entertainment
IDXX,IDEXX LABORATORIES INC,Health Care,Health Care Equipment
HUM,HUMANA INC,Health Care,Managed Health Care
CVNA,CARVANA CLASS A,Consumer Discretionary,Automotive Retail
CBRE,CBRE GROUP INC CLASS A,Real Estate,Real Estate Services
PRU,PRUDENTIAL FINANCIAL INC,Financials,Life & Health Insurance
YUM,YUM BRANDS INC,Consumer Discretionary,Restaurants
XYZ,BLOCK INC CLASS A,Financials,Transaction & Payment Processing Services
NDAQ,NASDAQ INC,Financials,Financial Exchanges & Data
RSG,REPUBLIC SERVICES INC,Industrials,Environmental & Facilities Services
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Multi-line Insurance
FLEX,FLEX LTD,Information Technology,Electronic Manufacturing Services
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Oil & Gas Exploration & Production
AXON,AXON ENTERPRISE INC,Industrials,Aerospace & Defense
SYY,SYSCO CORP,Consumer Staples,Food Distributors
KDP,KEURIG DR PEPPER INC,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MSCI,MSCI INC,Financials,Financial Exchanges & Data
ED,CONSOLIDATED EDISON INC,Utilities,Multi-Utilities
ROP,ROPER TECHNOLOGIES INC,Information Technology,Electronic Equipment & Instruments
AU,ANGLOGOLD ASHANTI PLC,Materials,Gold
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Cargo Ground Transportation
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Semiconductors
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,Passenger Airlines
IQV,IQVIA HOLDINGS INC,Health Care,Life Sciences Tools & Services
A,AGILENT TECHNOLOGIES INC,Health Care,Life Sciences Tools & Services
FANG,DIAMONDBACK ENERGY INC,Energy,Oil & Gas Exploration & Production
HIG,HARTFORD INSURANCE GROUP INC,Financials,Property & Casualty Insurance
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Investment Banking & Brokerage
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Electric Utilities
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Agricultural Products & Services
PCG,PGE CORP,Utilities,Multi-Utilities
PAYX,PAYCHEX INC,Industrials,Human Resource & Employment Services
WAT,WATERS CORP,Health Care,Life Sciences Tools & Services
NTRA,NATERA INC,Health Care,Health Care Services
KVUE,KENVUE INC,Consumer Staples,Personal Care Products
IRM,IRON MOUNTAIN INC,Real Estate,Other Specialized REITs
MTB,MT BANK,Financials,Regional Banks
KMB,KIMBERLY CLARK CORP,Consumer Staples,Household Products
DHI,D R HORTON INC,Consumer Discretionary,Homebuilding
WEC,WEC ENERGY GROUP INC,Utilities,Electric Utilities
RVMD,REVOLUTION MEDICINES INC,Health Care,Biotechnology
CCL,CARNIVAL CORP LTD,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EME,EMCOR GROUP INC,Industrials,Construction & Engineering
NTAP,NETAPP INC,Information Technology,"Technology Hardware, Storage & Peripherals"
ACGL,ARCH CAPITAL GROUP LTD,Financials,Property & Casualty Insurance
RKLB,ROCKET LAB CORP,Industrials,Aerospace & Defense
VMC,VULCAN MATERIALS,Materials,Construction Materials
HBAN,HUNTINGTON BANCSHARES INC,Financials,Regional Banks
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Semiconductors
STLD,STEEL DYNAMICS INC,Materials,Steel
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CCI,CROWN CASTLE INC,Real Estate,Telecom Tower REITs
NTRS,NORTHERN TRUST CORP,Financials,Asset Management & Custody Banks
JBL,JABIL INC,Information Technology,Electronic Manufacturing Services
WDAY,WORKDAY INC CLASS A,Information Technology,Application Software
CBOE,CBOE GLOBAL MARKETS INC,Financials,Financial Exchanges & Data
IR,INGERSOLL RAND INC,Industrials,Industrial Machinery & Supplies & Components
ZTS,ZOETIS INC CLASS A,Health Care,Pharmaceuticals
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Food Retail
EQT,EQT CORP,Energy,Oil & Gas Exploration & Production
KR,KROGER,Consumer Staples,Food Retail
COIN,COINBASE GLOBAL INC CLASS A,Financials,Financial Exchanges & Data
ON,ON SEMICONDUCTOR CORP,Information Technology,Semiconductors
DXCM,DEXCOM INC,Health Care,Health Care Equipment
WTW,WILLIS TOWERS WATSON PLC,Financials,Insurance Brokers
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Construction Materials
ILMN,ILLUMINA INC,Health Care,Life Sciences Tools & Services
RJF,RAYMOND JAMES INC,Financials,Investment Banking & Brokerage
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Self-Storage REITs
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Health Care Equipment
CNC,CENTENE CORP,Health Care,Managed Health Care
TPR,TAPESTRY INC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Health Care Technology
RMD,RESMED INC,Health Care,Health Care Equipment
MSTR,STRATEGY INC CLASS A,Information Technology,Application Software
AEE,AMEREN CORP,Utilities,Multi-Utilities
CFG,CITIZENS FINANCIAL GROUP INC,Financials,Regional Banks
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,Electronic Equipment & Instruments
BIIB,BIOGEN INC,Health Care,Biotechnology
DTE,DTE ENERGY,Utilities,Multi-Utilities
SUNB,SUNBELT RENTALS HOLDINGS INC,Industrials,Trading Companies & Distributors
TWLO,TWILIO INC CLASS A,Information Technology,Application Software
MTD,METTLER TOLEDO INC,Health Care,Life Sciences Tools & Services
FISV,FISERV INC,Financials,Transaction & Payment Processing Services
VICI,VICI PPTYS INC,Real Estate,Hotel & Resort REITs
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,Investment Banking & Brokerage
ATO,ATMOS ENERGY CORP,Utilities,Gas Utilities
FTI,TECHNIPFMC PLC,Energy,Oil & Gas Equipment & Services
DG,DOLLAR GENERAL CORP,Consumer Staples,Consumer Staples Merchandise Retail
EIX,EDISON INTERNATIONAL,Utilities,Electric Utilities
LYV,LIVE NATION ENTERTAINMENT INC,Communication,Movies & Entertainment
CNP,CENTERPOINT ENERGY INC,Utilities,Multi-Utilities
XYL,XYLEM INC,Industrials,Industrial Machinery & Supplies & Components
OTIS,OTIS WORLDWIDE CORP,Industrials,Industrial Machinery & Supplies & Components
Q,QNITY ELECTRONICS INC,Information Technology,Semiconductor Materials & Equipment
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Biotechnology
NRG,NRG ENERGY INC,Utilities,Independent Power Producers & Energy Traders
DOV,DOVER CORP,Industrials,Industrial Machinery & Supplies & Components
ES,EVERSOURCE ENERGY,Utilities,Electric Utilities
CINF,CINCINNATI FINANCIAL CORP,Financials,Property & Casualty Insurance
FE,FIRSTENERGY CORP,Utilities,Electric Utilities
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,Homefurnishing Retail
HAL,HALLIBURTON,Energy,Oil & Gas Equipment & Services
CW,CURTISS WRIGHT CORP,Industrials,Aerospace & Defense
PPL,PPL CORP,Utilities,Electric Utilities
RF,REGIONS FINANCIAL CORP,Financials,Regional Banks
MDB,MONGODB INC CLASS A,Information Technology,Application Software
AWK,AMERICAN WATER WORKS INC,Utilities,Water Utilities
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,IT Consulting & Other Services
CPRT,COPART INC,Industrials,Diversified Support Services
ZM,ZOOM COMMUNICATIONS INC CLASS A,Information Technology,Application Software
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate,Multi-Family Residential REITs
DGX,QUEST DIAGNOSTICS INC,Health Care,Health Care Services
HSY,HERSHEY FOODS,Consumer Staples,Packaged Foods & Meats
VRSK,VERISK ANALYTICS INC,Industrials,Research & Consulting Services
QSR,RESTAURANTS BRANDS INTERNATIONAL I,Consumer Discretionary,Restaurants
SYF,SYNCHRONY FINANCIAL,Financials,Consumer Finance
ATI,ATI INC,Industrials,Steel
LH,LABCORP HOLDINGS INC,Health Care,Health Care Services
FICO,FAIR ISAAC CORP,Information Technology,Application Software
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Asset Management & Custody Banks
CRS,CARPENTER TECHNOLOGY CORP,Industrials,Steel
HUBB,HUBBELL INC,Industrials,Industrial Machinery & Supplies & Components
CRWV,COREWEAVE INC CLASS A,Information Technology,Internet Services & Infrastructure
HPQ,HP INC,Information Technology,"Technology Hardware, Storage & Peripherals"
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Multi-Family Residential REITs
NVT,NVENT ELECTRIC PLC,Industrials,Electrical Components & Equipment
PPG,PPG INDUSTRIES INC,Materials,Specialty Chemicals
CPAY,CORPAY INC,Financials,Transaction & Payment Processing Services
PFG,PRINCIPAL FINANCIAL GROUP INC,Financials,Life & Health Insurance
P,EVERPURE INC CLASS A,Information Technology,Industrial Machinery & Supplies & Components
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,Biotechnology
OKTA,OKTA INC CLASS A,Information Technology,Systems Software
SW,SMURFIT WESTROCK PLC,Materials,Paper & Plastic Packaging Products & Materials
PHM,PULTEGROUP INC,Consumer Discretionary,Homebuilding
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Health Care Supplies
VRSN,VERISIGN INC,Information Technology,Internet Services & Infrastructure
DLTR,DOLLAR TREE INC,Consumer Staples,Consumer Staples Merchandise Retail
TROW,T ROWE PRICE GROUP INC,Financials,Asset Management & Custody Banks
MKL,MARKEL GROUP INC,Financials,Property & Casualty Insurance
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Transaction & Payment Processing Services
TPL,TEXAS PACIFIC LAND CORP,Energy,Oil & Gas Exploration & Production
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Household Products
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Restaurants
VLTO,VERALTO CORP,Industrials,Environmental & Facilities Services
BURL,BURLINGTON STORES INC,Consumer Discretionary,Apparel Retail
FFIV,F5 INC,Information Technology,Communications Equipment
XPO,XPO INC,Industrials,Cargo Ground Transportation
RBLX,ROBLOX CORP CLASS A,Communication,Interactive Home Entertainment
STE,STERIS,Health Care,Health Care Equipment
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Other Specialty Retail
OMC,OMNICOM GROUP INC,Communication,Advertising
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Air Freight & Logistics
KHC,KRAFT HEINZ,Consumer Staples,Packaged Foods & Meats
USFD,US FOODS HOLDING CORP,Consumer Staples,Food Distributors
CMS,CMS ENERGY CORP,Utilities,Multi-Utilities
THC,TENET HEALTHCARE CORP,Health Care,Health Care Facilities
DOW,DOW INC,Materials,Commodity Chemicals
WWD,WOODWARD INC,Industrials,Aerospace & Defense
IP,INTERNATIONAL PAPER,Materials,Paper & Plastic Packaging Products & Materials
EXE,EXPAND ENERGY CORP,Energy,Oil & Gas Exploration & Production
FSLR,FIRST SOLAR INC,Information Technology,Semiconductors
